,time,1. open,2. high,3. low,4. close,5. volume,day,hour
79,2022-09-23 16:15:00,275.3300,276.0000,275.1311,275.5000,436817,23,16
80,2022-09-23 16:00:00,275.7000,276.0500,274.3700,275.3600,3324665,23,16
81,2022-09-23 15:45:00,274.8300,275.9100,273.7100,275.6900,2359133,23,15
82,2022-09-23 15:30:00,274.7600,275.4500,273.5000,274.8200,1837509,23,15
83,2022-09-23 15:15:00,273.0400,275.8800,272.9000,274.7506,2201337,23,15
84,2022-09-23 15:00:00,274.0475,274.2500,272.8200,273.0400,1489632,23,15
85,2022-09-23 14:45:00,274.8999,274.9100,273.3300,274.0599,1635852,23,14
86,2022-09-23 14:30:00,274.1315,275.5200,273.6500,274.8700,1614372,23,14
87,2022-09-23 14:15:00,275.8547,276.3500,273.8800,274.1450,1822197,23,14
88,2022-09-23 14:00:00,275.2200,275.9740,275.2200,275.8450,992852,23,14
89,2022-09-23 13:45:00,275.0300,275.6346,274.8000,275.2300,1220292,23,13
90,2022-09-23 13:30:00,276.2300,277.0500,275.0000,275.0606,1580971,23,13
91,2022-09-23 13:15:00,276.2000,276.6400,275.5700,276.2500,1544441,23,13
92,2022-09-23 13:00:00,275.2600,276.5200,275.2016,276.1900,1448409,23,13
93,2022-09-23 12:45:00,274.8300,275.6500,274.6100,275.2700,1649333,23,12
94,2022-09-23 12:30:00,276.2400,276.6340,274.8000,274.8300,1683688,23,12
95,2022-09-23 12:15:00,277.6800,278.1300,275.7800,276.2200,1563590,23,12
96,2022-09-23 12:00:00,276.7000,277.9900,276.1000,277.7200,1441766,23,12
97,2022-09-23 11:45:00,277.5900,278.3700,276.5000,276.6900,1651480,23,11
98,2022-09-23 11:30:00,276.6500,279.3399,276.6200,277.5418,2114647,23,11
99,2022-09-23 11:15:00,276.2500,277.4700,275.5700,276.6500,1852058,23,11
